store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
SPECTACLE HUT,One Holland Village,Far East Organization,#02-03,,Jewellery & Watches,Jewellery/Watches/Optical,Pet-friendly | Pet-friendly retail stores (pets to be in a carrier/stroller),False,False,,,fareast-sitecore
SPLICE BARBERSHOP,One Holland Village,Far East Organization,#03-12,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
SPORTSMED TCM,One Holland Village,Far East Organization,#03-11,,Services,Services & Others,,False,False,,,fareast-sitecore
STARBUCKS,One Holland Village,Far East Organization,#01-56,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
STEFANI PARFUMERIE,One Holland Village,Far East Organization,#02-42,,"Hobbies, Leisure & Entertainment",Books / Gifts & Novelties,Pet-friendly | Pet-friendly retail stores (pets to be in a carrier/stroller),False,False,,,fareast-sitecore
STRONG PILATES,One Holland Village,Far East Organization,#03-35/36,,Sports & Fitness,Sports & Fitness,,False,False,,,fareast-sitecore
SUPERCO COWORKING SPACE,One Holland Village,Far East Organization,#05-03 to 05,,Services,Services & Others,,False,False,,,fareast-sitecore
SUPERLAND PRE-SCHOOL,One Holland Village,Far East Organization,#05-01/02,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
SURREY HILLS GROCER ONE HOLLAND VILLAGE,One Holland Village,Far East Organization,#03-29 to 33,,Food & Beverage,Food & Beverage,Cafes & Desserts | Pet-friendly | Pet-friendly restaurants,True,False,,,fareast-sitecore
SUSHI TEI,One Holland Village,Far East Organization,#03-19/20,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
TEAM SALON,One Holland Village,Far East Organization,#03-06,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
THE ARTGROUND,One Holland Village,Far East Organization,#01-20,,Services,Services & Others,,False,False,,,fareast-sitecore
THE ELLY STORE,One Holland Village,Far East Organization,#02-43/44,,Fashion & Accessories,Fashion & Accessories,,False,False,,,fareast-sitecore
THE SEAFOOD MARKET PLACE,One Holland Village,Far East Organization,#01-18,,Services,Services & Others,,False,False,,,fareast-sitecore
TOAST BOX,One Holland Village,Far East Organization,#01-44,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
TSUJIRI PREMIUM,One Holland Village,Far East Organization,#02-25/26,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
TUTTO BY DA PAOLO,One Holland Village,Far East Organization,#01-49,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
VIETSMITH,One Holland Village,Far East Organization,#03-24/25/26,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
WARABIMOCHI KAMAKURA,One Holland Village,Far East Organization,#01-54,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
WATSONS,One Holland Village,Far East Organization,#02-14/15,,Beauty & Wellness,Hair / Beauty / Wellness,Pet-friendly | Pet-friendly retail stores (pets to be in a carrier/stroller),False,False,,,fareast-sitecore
WOOBBEE,One Holland Village,Far East Organization,#01-40,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
WUSHILAND,One Holland Village,Far East Organization,#02-22,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
XIANG XIANG HUNAN CUISINE,One Holland Village,Far East Organization,#02-19/20,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
YA KUN KAYA TOAST,One Holland Village,Far East Organization,#02-45,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
YATSUDOKI,One Holland Village,Far East Organization,#01-22/23,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
ANYTIME FITNESS,West Coast Plaza,Far East Organization,#01-69,,Sports & Fitness,Sports & Fitness,,False,False,,,fareast-sitecore
ART VILLAGE,West Coast Plaza,Far East Organization,#01-20,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
ASIA MUSIC SCHOOL,West Coast Plaza,Far East Organization,#01-67,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
AU CROISSANT,West Coast Plaza,Far East Organization,#B1-49,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
AUREUS ACADEMY,West Coast Plaza,Far East Organization,#01-76,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
BA GUO GRILLED FISH,West Coast Plaza,Far East Organization,#02-25,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
BAOZHITANG CHINESE MEDICINE AND THERAPY CENTRE,West Coast Plaza,Far East Organization,#02-31,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BERRIES WORLD OF LEARNING SCHOOL (CW),West Coast Plaza,Far East Organization,#B1-19,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
BFT WEST COAST PLAZA,West Coast Plaza,Far East Organization,#02-46/51,,Sports & Fitness,Sports & Fitness,,False,False,,,fareast-sitecore
BIG MAMA,West Coast Plaza,Far East Organization,#01-10,,Services,Services & Others,,False,False,,,fareast-sitecore
CHEN KANG WELLNESS & THERAPY,West Coast Plaza,Far East Organization,#02-39/40/41,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
CHINESE MEDICAL CENTRE,West Coast Plaza,Far East Organization,#02-14,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
CLIPPERS BARBER,West Coast Plaza,Far East Organization,#B1-03,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
COLD STORAGE,West Coast Plaza,Far East Organization,#B1-19,,Supermarket & Convenience,Supermarket,,False,False,,,fareast-sitecore
DAISO,West Coast Plaza,Far East Organization,#B1-37,,Home & Living,Home & Furnishing,,False,False,,,fareast-sitecore
DENTALTRENDZ 时尚牙科 WEST COAST,West Coast Plaza,Far East Organization,#01-84,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
DISTINCT CREATIVE ARTS,West Coast Plaza,Far East Organization,#01-16/17/18,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
DU YI BOOKSHOP,West Coast Plaza,Far East Organization,#01-48,,"Hobbies, Leisure & Entertainment",Books / Gifts & Novelties,,False,False,,,fareast-sitecore
EC HOUSE,West Coast Plaza,Far East Organization,#01-11,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
EYE LEVEL,West Coast Plaza,Far East Organization,#02-53,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
EYE MASTER,West Coast Plaza,Far East Organization,#01-44,,Jewellery & Watches,Jewellery/Watches/Optical,,False,False,,,fareast-sitecore
FAMILY CARE PHYSIOTHERAPY CLINIC,West Coast Plaza,Far East Organization,#01-86,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
FISH MART SAKURAYA,West Coast Plaza,Far East Organization,#B1-52,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
FUN TOAST,West Coast Plaza,Far East Organization,#02-26,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
GADGET MIX,West Coast Plaza,Far East Organization,#B1-K9,,Services,Services & Others,Books / Gifts & Novelties,False,False,,,fareast-sitecore
GINKAKUJI ONISHI,West Coast Plaza,Far East Organization,#B1-22,,Food & Beverage,Food & Beverage,,True,False,,,fareast-sitecore
GLOBAL ART,West Coast Plaza,Far East Organization,#01-70,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
HAIR SEQUENCE,West Coast Plaza,Far East Organization,#02-42,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
HI-CLAW,West Coast Plaza,Far East Organization,#B1-17,,Services,Services & Others,,False,False,,,fareast-sitecore
HOMESTYLE CHINA,West Coast Plaza,Far East Organization,#B1-06,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
HONG FU MART,West Coast Plaza,Far East Organization,#01-05,,Services,Services & Others,,False,False,,,fareast-sitecore
HOUSE OF TRADITIONAL JAVANESE MASSAGE,West Coast Plaza,Far East Organization,#02-21,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
I CAN READ,West Coast Plaza,Far East Organization,#01-62,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
ILDO TAEKWONDO,West Coast Plaza,Far East Organization,#02-08,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
INSTIC ACADEMY,West Coast Plaza,Far East Organization,#01-57,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
JANTZEN,West Coast Plaza,Far East Organization,#02-37,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
JAS-INDULGE,West Coast Plaza,Far East Organization,#02-22,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
JIANG EDUCATION CENTRE,West Coast Plaza,Far East Organization,#01-75,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
K-MARKET,West Coast Plaza,Far East Organization,#B1-14,,Services,Services & Others,,False,False,,,fareast-sitecore
KODECOON ACADEMY,West Coast Plaza,Far East Organization,#01-74,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
KUMON,West Coast Plaza,Far East Organization,#01-88,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
LAC,West Coast Plaza,Far East Organization,#B1-10,,Services,Services & Others,,False,False,,,fareast-sitecore
LE YANMIEL BEAUTE,West Coast Plaza,Far East Organization,#02-19,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
LIHO TEA,West Coast Plaza,Far East Organization,#B1-54,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
LOVE LINK JEWELLERY,West Coast Plaza,Far East Organization,#01-72,,Jewellery & Watches,Jewellery/Watches/Optical,,False,False,,,fareast-sitecore
MENG DESIGN & BUILD,West Coast Plaza,Far East Organization,#01-89,,Home & Living,Home & Furnishing,,False,False,,,fareast-sitecore
MINDCHAMPS PRESCHOOL,West Coast Plaza,Far East Organization,#01-63,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
MINDSPACE,West Coast Plaza,Far East Organization,#01-60/61,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
MINISO,West Coast Plaza,Far East Organization,#B1-18/20,,Services,Services & Others,,False,False,,,fareast-sitecore
MIXUE,West Coast Plaza,Far East Organization,#B1-54A,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
MOFUNLAND & NEUROBIX METHOD,West Coast Plaza,Far East Organization,#01-23 to 26,,Services,Services & Others,,False,False,,,fareast-sitecore
MR. D.I.Y.,West Coast Plaza,Far East Organization,#01-31 to 41,,Home & Living,Home & Furnishing,,False,False,,,fareast-sitecore
MUZART LEARNING CENTRE,West Coast Plaza,Far East Organization,#02-10,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
NANYANG EDUCATION CONSULTANCY,West Coast Plaza,Far East Organization,"#01-30, 45 to 47",,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
NEW NANYANG,West Coast Plaza,Far East Organization,#B1-07,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
OISHII BAKERY,West Coast Plaza,Far East Organization,#B1-21,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
ORGANIC EXPRESS HAIR COLOR LAB,West Coast Plaza,Far East Organization,#02-27,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
PET LOVERS CENTRE,West Coast Plaza,Far East Organization,#02-09,,Services,Services & Others,,False,False,,,fareast-sitecore
PINK ESSENTIAL,West Coast Plaza,Far East Organization,#B1-05,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
PIXIE NAIL SPA,West Coast Plaza,Far East Organization,#01-27/49,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
POPEYES,West Coast Plaza,Far East Organization,#B1-48,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
PROMISS,West Coast Plaza,Far East Organization,#01-06,,Services,Services & Others,,False,False,,,fareast-sitecore
PUMA OUTLET STORE,West Coast Plaza,Far East Organization,#B1-26/27/46/47,,Sports & Fitness,Sports & Fitness,,False,False,,,fareast-sitecore
PURE ORGANIC BEAUTY,West Coast Plaza,Far East Organization,#02-36,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
RAPHA CHIROPRACTIC,West Coast Plaza,Far East Organization,#01-82,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
REPAIR STATION,West Coast Plaza,Far East Organization,#B1-K6,,Services,Services & Others,,False,False,,,fareast-sitecore
REST N GO,West Coast Plaza,Far East Organization,#01-71,,Services,Services & Others,,False,False,,,fareast-sitecore
ROBOTHINK,West Coast Plaza,Far East Organization,#01-58/59,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
SAIGON LEGEND,West Coast Plaza,Far East Organization,,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
SANOOK KITCHEN,West Coast Plaza,Far East Organization,#B1-04,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
SHA XIAN DELICACIES,West Coast Plaza,Far East Organization,#B1-09,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
SINGAPORE DANCE COMPANY,West Coast Plaza,Far East Organization,#01-12,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
SPA ARTISTRY,West Coast Plaza,Far East Organization,#02-20,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
STARBUCKS COFFEE,West Coast Plaza,Far East Organization,#01-01,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
SUBWAY,West Coast Plaza,Far East Organization,#B1-13,,Food & Beverage,Food & Beverage,Fast Food,True,False,,,fareast-sitecore
SUNNY KOREAN CUISINE,West Coast Plaza,Far East Organization,#B1-08,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
SUNSHINE WELLNESS AND SLIMMING,West Coast Plaza,Far East Organization,#02-35,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
SUSHI TEI,West Coast Plaza,Far East Organization,#01-87,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
THE BALLET SCHOOL,West Coast Plaza,Far East Organization,#02-02,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
THE S.K.MED CLINIC,West Coast Plaza,Far East Organization,#01-80,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
THE SPECTACLE SHOP,West Coast Plaza,Far East Organization,#02-32,,Jewellery & Watches,Jewellery/Watches/Optical,,False,False,,,fareast-sitecore
TOAST BOX,West Coast Plaza,Far East Organization,#B1-01/02,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
TOYSLAND,West Coast Plaza,Far East Organization,#01-07,,"Hobbies, Leisure & Entertainment",Books / Gifts & Novelties,,False,False,,,fareast-sitecore
TRICOW HOTPOT & BBQ BUFFET,West Coast Plaza,Far East Organization,#01-02,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
US PIZZA,West Coast Plaza,Far East Organization,#B1-55/56,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
VIERGE BEAUTIQUE,West Coast Plaza,Far East Organization,#02-28,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
VIVA MEDICAL GROUP (WESTSIDE),West Coast Plaza,Far East Organization,#01-81,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
WAM & EDUCATION CENTRE,West Coast Plaza,Far East Organization,#01-21/22,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
WAN TO PLAY CANDYLAND,West Coast Plaza,Far East Organization,#02-44/45,,Services,Services & Others,,False,False,,,fareast-sitecore
WATSONS,West Coast Plaza,Far East Organization,#B1-15,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
WEST CO'Z CAFE,West Coast Plaza,Far East Organization,#02-23,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
WINE CONNECTION,West Coast Plaza,Far East Organization,#B1-25,,Food & Beverage,Food & Beverage,,True,False,,,fareast-sitecore
WINSTON OH HEARING,West Coast Plaza,Far East Organization,#01-83,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
XOREX PRESS,West Coast Plaza,Far East Organization,#02-30,,Services,Services & Others,,False,False,,,fareast-sitecore
YAN AESTHETIC & LASER CLINIC,West Coast Plaza,Far East Organization,#02-43,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
20DB DIGISOUND,Square 2,Far East Organization,#03-24/25,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
7-ELEVEN,Square 2,Far East Organization,#01-06,,Supermarket & Convenience,Convenience Store,,False,False,,,fareast-sitecore
AILISA WELLNESS,Square 2,Far East Organization,#B1-98,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
ALCHEMIST,Square 2,Far East Organization,#01-172,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
ALIZIA GIFT HOUSE,Square 2,Far East Organization,#01-131,,Services,Services & Others,,False,False,,,fareast-sitecore
AOM,Square 2,Far East Organization,#01-69,,Fashion & Accessories,Fashion & Accessories,,False,False,,,fareast-sitecore
APGUJEONG HAIR STUDIO,Square 2,Far East Organization,#03-92,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
ART & ROSES FLOWERS 'N' GIFTS,Square 2,Far East Organization,#03-30,,"Hobbies, Leisure & Entertainment",Books / Gifts & Novelties,,False,False,,,fareast-sitecore
ASTONS STEAK & SALAD,Square 2,Far East Organization,"#04-17 to 19, 56 to 62, 71 to 75",,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
AWFULLY CHOCOLATE,Square 2,Far East Organization,#01-14,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
BABIES BELLIES,Square 2,Far East Organization,#04-39,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BARCOOK BAKERY,Square 2,Far East Organization,#01-17,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
BEAUTY COLLECTIVE,Square 2,Far East Organization,#03-36,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BEAUTY EMPIRE,Square 2,Far East Organization,#03-38,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BEAUTY'S ZIP,Square 2,Far East Organization,#01-70,,Fashion & Accessories,Fashion & Accessories,,False,False,,,fareast-sitecore
BEN'S COLLECTIONS,Square 2,Far East Organization,#02-75,,"Hobbies, Leisure & Entertainment",Books / Gifts & Novelties,,False,False,,,fareast-sitecore
BODYWERKZ,Square 2,Far East Organization,#04-34,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BOON LAY POWER NASI LEMAK,Square 2,Far East Organization,#B1-125,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
BOTTOMSLIM AND ASIAN SKIN SOLUTIONS,Square 2,Far East Organization,#03-11/19,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BUD COSMETICS,Square 2,Far East Organization,#01-66,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
BUZUD,Square 2,Far East Organization,#03-21,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
CAKEBAR,Square 2,Far East Organization,#01-168/169,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
CAREHOME,Square 2,Far East Organization,#03-52,,Services,Services & Others,,False,False,,,fareast-sitecore
CFOOT,Square 2,Far East Organization,#02-71,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
CHATERAISE,Square 2,Far East Organization,#01-19/20,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
CHICKEN HOTPOT,Square 2,Far East Organization,#04-02,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
CLEANLY DRY CLEANING & ALTERATION,Square 2,Far East Organization,#04-12,,Services,Services & Others,,False,False,,,fareast-sitecore
CLIPPERS BARBER,Square 2,Far East Organization,#03-04,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
COFFEE HIVE SIGNATURES,Square 2,Far East Organization,#B1-86,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
COGITO CHEMISTRY,Square 2,Far East Organization,#04-26,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
COMFORT ZONE SIGNATURE,Square 2,Far East Organization,#B1-101,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
D'LIFE SIGNATURE,Square 2,Far East Organization,#B1-129,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
DAISO JAPAN X THREEPPY,Square 2,Far East Organization,#02-10/18 & 25-57,,Home & Living,Home & Furnishing,,False,False,,,fareast-sitecore
DON DON DONKI,Square 2,Far East Organization,#B1-01,,Supermarket & Convenience,Supermarket,,False,False,,,fareast-sitecore
DUNKIN',Square 2,Far East Organization,#01-162,,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,,,fareast-sitecore
EAT 3 BOWLS,Square 2,Far East Organization,#02-01/02/03,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
EAT.,Square 2,Far East Organization,#04-02F,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
EPI TREATZ,Square 2,Far East Organization,#B1-96,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
EROS BEAUTY & WELLNESS,Square 2,Far East Organization,#01-63,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
EU YAN SANG,Square 2,Far East Organization,#03-50,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
FARM FROZEN,Square 2,Far East Organization,#03-09,,Services,Services & Others,,False,False,,,fareast-sitecore
FIX BOT,Square 2,Far East Organization,#04-07,,Electronics & Technology,Electrical & Electronics,,False,False,,,fareast-sitecore
FJORD STEEL EXPRESSIONS,Square 2,Far East Organization,#02-72,,Jewellery & Watches,Jewellery/Watches/Optical,,False,False,,,fareast-sitecore
GOCHI-SO SHOKUDO,Square 2,Far East Organization,#03-66,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
GONG YUAN MA LA TANG,Square 2,Far East Organization,#03-06 to 08,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
HANSANG KOREAN FAMILY RESTAURANT,Square 2,Far East Organization,#03-40,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
HAWKERS' STREET,Square 2,Far East Organization,#04-14 to 16/63 to 70/76 to 80,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
HIDOLPHIN COUNSELLING,Square 2,Far East Organization,#03-91,,Services,Services & Others,,False,False,,,fareast-sitecore
IBROW STUDIO,Square 2,Far East Organization,#B1-107,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
IJOOZ,Square 2,Far East Organization,#04-53,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
ILLUM.E,Square 2,Far East Organization,#04-52/54,,Education & Enrichment,Education & Enrichment,,False,False,,,fareast-sitecore
INDOSOUP PADANG,Square 2,Far East Organization,#04-02,,Food & Beverage,Food & Beverage,Light Bites & Food Kiosks,True,False,,,fareast-sitecore
IORA,Square 2,Far East Organization,#01-133 to 139 & 145/146,,Fashion & Accessories,Fashion & Accessories,,False,False,,,fareast-sitecore
ISHIRO FUSHION BOWL,Square 2,Far East Organization,#B1-131,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
ITACHO SUSHI,Square 2,Far East Organization,#02-88,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
JAPAN HOME,Square 2,Far East Organization,#04-09,,Supermarket & Convenience,Convenience Store,,False,False,,,fareast-sitecore
JASS HAIR DESIGN,Square 2,Far East Organization,#B1-95,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
JI DE CHI & OTTER PIZZA,Square 2,Far East Organization,#01-22,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
JOLLIBEE,Square 2,Far East Organization,#01-165,,Food & Beverage,Food & Beverage,Fast Food,True,False,,,fareast-sitecore
JOYRE TCMEDI SPA,Square 2,Far East Organization,#04-05,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
JULLIA OLGER,Square 2,Far East Organization,#02-21/22,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
K&M BEAUTY AESTHETIC,Square 2,Far East Organization,#B1-132,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
KEI KAISENDON,Square 2,Far East Organization,#02-96,,Food & Beverage,Food & Beverage,Restaurants,True,False,,,fareast-sitecore
KILLINEY,Square 2,Far East Organization,#02-04/06,,Food & Beverage,Food & Beverage,Cafes & Desserts,True,False,,,fareast-sitecore
KIMARIE,Square 2,Far East Organization,#B1-133,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
KJ THERAPY,Square 2,Far East Organization,#03-80 to 84,,Services,Services & Others,,False,False,,,fareast-sitecore
KOI EXPRESS,Square 2,Far East Organization,#B1-115,,Food & Beverage,Food & Beverage,,True,False,,,fareast-sitecore
KOKORO SEITAI JAPANESE CHIROPRACTIC AND STRETCHING THERAPY,Square 2,Far East Organization,#03-48,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
KSKIN,Square 2,Far East Organization,#03-05,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
L’ATELIER KOREAN HAIR SALON,Square 2,Far East Organization,#03-73/76,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
LAO BEIJING,Square 2,Far East Organization,#02-80,,Food & Beverage,Food & Beverage,,True,False,,,fareast-sitecore
LAO NIANG TCM CLINIC,Square 2,Far East Organization,#03-47,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
LASH MONSTER,Square 2,Far East Organization,#B1-135,,Beauty & Wellness,Hair / Beauty / Wellness,,False,False,,,fareast-sitecore
LASSIC & CO,Square 2,Far East Organization,#01-67,,Fashion & Accessories,Fashion & Accessories,,False,False,,,fareast-sitecore
LIGHTON TCM,Square 2,Far East Organization,#B1-93,,Health & Pharmacy,Medical / Dental,,False,False,,,fareast-sitecore
M&G LIFE,Square 2,Far East Organization,#01-33 to 36/41 to 44,,Services,Services & Others,,False,False,,,fareast-sitecore
